ID_static	ID	Author	Checked By	Language	Country/Region	Question	Answer	Evidence_url	Question Automatic Translation	Question Corrected Translation	Answer Automatic Translation	Answer Corrected Translation	Translation Corrected By	Notes	URL language (if different from target language)	Category	gemini-3.6-flash Response
11	11	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	"Kesintisiz 20 yıl başkanlık yaparak ""Fenerbahçe tarihinin en uzun süre görev yapan başkanı"" ünvanının sahibi kimdir?"	Aziz Yıldırım	https://tr.wikipedia.org/wiki/Aziz_Y%C4%B1ld%C4%B1r%C4%B1m	"Who holds the title of ""the longest-serving president in Fenerbahçe history,"" having served as president for 20 consecutive years?"		Aziz Yildirim	Aziz Yıldırım	Tarık Tuna Taşaltı			Sport	Aziz Yıldırım
12	12	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	Dünya ve Avrupa şampiyonluklarıyla Türk spor tarihine damga vuran Türkiye Kadın Millî Voleybol Takımı'na verilen lakap nedir?	Filenin Sultanları	https://tr.wikipedia.org/wiki/T%C3%BCrkiye_kad%C4%B1n_mill%C3%AE_voleybol_tak%C4%B1m%C4%B1	What is the nickname given to the Turkish Women's National Volleyball Team, which has left its mark on Turkish sports history with its World and European championships?		Queens of the Net	Sultans of the Net	Tarık Tuna Taşaltı			Sport	Filenin Sultanları
13	13	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	2002 FIFA Dünya Kupası'nda Türkiye'ye destek amacıyla bestelenen Tarkan şarkısının adı nedir?	Bir Oluruz Yolunda	https://tr.wikipedia.org/wiki/Bir_Oluruz_Yolunda	What is the name of the Tarkan song composed to support Türkiye in the 2002 FIFA World Cup?		We Will Be One on the Path	We Are United on Your Way	Tarık Tuna Taşaltı			Sport	Bir Oluruz Yolunda
14	14	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	Türkiye Milli Basketbol Takımı için yapılan ve takımın bir nevi marşı haline gelen 12 Dev Adam şarkısını söyleyen grubun adı nedir?	Athena	https://tr.wikipedia.org/wiki/Athena_(m%C3%BCzik_grubu)	"What is the name of the band that sang the song ""12 Dev Adam,"" which was made for the Turkish National Basketball Team and has become a kind of anthem for the team?"		Athena		Melike Kızılay			Sport	Athena
15	15	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	2021, 2024, 2025 sezonlarında Superbike Dünya Şampiyonu olan Türk yarışçı kimdir?	Toprak Razgatlıoğlu	https://tr.wikipedia.org/wiki/Toprak_Razgatl%C4%B1o%C4%9Flu	Who is the Turkish racer who became Superbike World Champion in the 2021, 2024, and 2025 seasons?		Toprak Razgatlıoğlu		Melike Kızılay			Sport	Toprak Razgatlıoğlu
16	16	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	Türkiye A milli takım formasıyla en fazla maça çıkan futbolcu kimdir?	Rüştü Reçber	https://www.tff.org/default.aspx?pageID=319	Who is the footballer with the most appearances for the Turkish national team?		Rüştü Reçber		Melike Kızılay			Sport	Rüştü Reçber
17	17	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	Türkiye Cumhuriyeti'nin 27. ve son başbakanı kimdir?	Binali Yıldırım	https://tr.wikipedia.org/wiki/Binali_Y%C4%B1ld%C4%B1r%C4%B1m	Who was the 27th and last Prime Minister of the Republic of Turkey?		Binali Yıldırım		Melike Kızılay			Politics	Binali Yıldırım
18	18	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	2024 Türkiye Yerel Seçimleri'nde, 1977'den beri ilk kez birinci parti olan partinin tam adı nedir?	Cumhuriyet Halk Partisi	https://tr.wikipedia.org/wiki/2024_T%C3%BCrkiye_yerel_se%C3%A7imleri	What is the full name of the party that came in first place in the 2024 Turkish Local Elections for the first time since 1977?		Republican People's Party		Melike Kızılay			Politics	Cumhuriyet Halk Partisi
19	19	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	Yeniden Refah Partisi 2018 yılında kimin liderliğinde kurulmuştur?	Fatih Erbakan	https://tr.wikipedia.org/wiki/Yeniden_Refah_Partisi	Under whose leadership was the Re-Welfare Party founded in 2018?		Fatih Erbakan		Melike Kızılay			Politics	Fatih Erbakan
20	20	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	2023 yılında Cumhuriyet Halk Partisi genel başkanı olan Özgür Özel hangi şehrin milletvekilidir?	Manisa	https://tr.wikipedia.org/wiki/%C3%96zg%C3%BCr_%C3%96zel	In 2023, Özgür Özel, who became the leader of the Republican People's Party (CHP), was a member of parliament for which city?		Manisa		Melike Kızılay			Politics	Manisa
21	21	Tarık Tuna Taşaltı	Melike Kızılay	tur_latn	Türkiye	Türkiye'de mahalle veya köylerin yönetiminden sorumlu olan ve halkın oylarıyla seçilen yerel yöneticiye ne unvan verilir?	Muhtar	https://tr.wikipedia.org/wiki/Muhtar	What title is given to the local administrator in Türkiye who is responsible for the management of neighborhoods or villages and is elected by the people?		Village Head		Melike Kızılay			Politics	Muhtar
22	22	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	2018 yılında Adalet ve Kalkınma Partisi ile Milliyetçi Hareket Partisi'nin bir araya gelerek oluşturduğu seçim ittifakının adı nedir?	Cumhur İttifakı	https://tr.wikipedia.org/wiki/Cumhur_%C4%B0ttifak%C4%B1	What is the name of the electoral alliance formed in 2018 between the Justice and Development Party (AKP) and the Nationalist Movement Party (MHP)?		People's Alliance		Gül Sena Altıntaş			Politics	Cumhur İttifakı
23	23	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	Türkiye'de parlamenter sistemden başkanlık sistemine geçilmesiyle sonuçlanan anayasa değişikliği referandumu hangi yıl yapılmıştır?	2017	https://tr.wikipedia.org/wiki/2017_T%C3%BCrkiye_anayasa_de%C4%9Fi%C5%9Fikli%C4%9Fi_referandumu	In what year was the constitutional amendment referendum held in Türkiye, which resulted in the transition from a parliamentary system to a presidential system?		2017		Gül Sena Altıntaş			Politics	2017
24	24	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	İYİ Parti 2017 yılında kimin liderliğinde kurulmuştur?	Meral Akşener	https://tr.wikipedia.org/wiki/%C4%B0Y%C4%B0_Parti	Under whose leadership was the İyi Party founded in 2017?	Under whose leadership was the İYİ Party founded in 2017?	Meral Akşener		Gül Sena Altıntaş			Politics	Meral Akşener
25	25	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	Türkiye'nin ilk kadın başbakanı kimdir?	Tansu Çiller	https://tr.wikipedia.org/wiki/Tansu_%C3%87iller	Who was Türkiye's first female prime minister?		Tansu Ciller	Tansu Çiller	Gül Sena Altıntaş			Politics	Tansu Çiller
26	26	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	Türkiye'nin 3. cumhurbaşkanını kimdir?	Celâl Bayar	https://tr.wikipedia.org/wiki/Cel%C3%A2l_Bayar	Who was the third president of Türkiye?		Celal Bayar	Celâl Bayar	Gül Sena Altıntaş			Politics	Celâl Bayar
27	27	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	2019 yılında Ahmet Davutoğlu tarafından kurulan siyasi partinin tam adı nedir?	Gelecek Partisi	https://tr.wikipedia.org/wiki/Gelecek_Partisi	What is the full name of the political party founded by Ahmet Davutoğlu in 2019?		Future Party		Gül Sena Altıntaş			Politics	Gelecek Partisi
28	28	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	2015 yılında Türk Hava Kuvvetleri tarafından düşürülen savaş uçağı hangi ülkeye aittir?	Rusya	https://tr.wikipedia.org/wiki/2015_Rus_Suhoy_Su-24_u%C3%A7a%C4%9F%C4%B1n%C4%B1n_d%C3%BC%C5%9F%C3%BCr%C3%BClmesi	Which country did the fighter jet shot down by the Turkish Air Force in 2015 belong to?		Russia		Gül Sena Altıntaş			Politics	Rusya
29	29	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	Profesör Engin Arık'ın hayatını kaybettiği uçak kazası hangi şehirde gerçekleşmiştir?	Isparta	https://tr.wikipedia.org/wiki/Engin_Ar%C4%B1k	In which city did the plane crash that claimed the life of Professor Engin Arık take place?		Isparta		Gül Sena Altıntaş			Politics	Isparta
30	30	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	Milliyetçi Hareket Partisi'nin kurucu lideri kimdir?	Alparslan Türkeş	https://tr.wikipedia.org/wiki/Milliyet%C3%A7i_Hareket_Partisi	Who was the founding leader of the Nationalist Movement Party (MHP)?		Alparslan Türkeş		Gül Sena Altıntaş			Politics	Alparslan Türkeş
31	31	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	2019 İstanbul Büyükşehir Belediye Başkanlığı seçiminin YSK tarafından yenilenmesi kararı sonrası yapılan ikinci seçimi hangi aday kazanmıştır?	Ekrem İmamoğlu	https://tr.wikipedia.org/wiki/Ekrem_%C4%B0mamo%C4%9Flu	Which candidate won the second election held after the Supreme Election Council (YSK) decided to rerun the 2019 Istanbul Metropolitan Municipality mayoral election?		Ekrem İmamoğlu		Gül Sena Altıntaş			Politics	Ekrem İmamoğlu
32	32	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	İnce yufka arasına ceviz, fıstık, badem veya fındık konarak yapılan şeker şerbetli Türk tatlısının adı nedir?	Baklava	https://tr.wikipedia.org/wiki/Baklava	What is the name of the Turkish dessert made with thin layers of phyllo dough, filled with walnuts, pistachios, almonds, or hazelnuts, and soaked in sugar syrup?		Baklava		Gül Sena Altıntaş			Cuisine	Baklava
33	33	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	İskender kebabı hangi şehrin meşhur kebap yemeğidir?	Bursa	https://tr.wikipedia.org/wiki/%C4%B0skender_kebap	Iskender kebab is a famous kebab dish from which city?		Bursa		Gül Sena Altıntaş			Cuisine	Bursa
34	34	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	Konya yöresine ait olan ve özellikle bu yörede yapılan bir çeşit ince kenarsız içli pide türüne ne ad verilir?	Etli ekmek	https://tr.wikipedia.org/wiki/Etli_ekmek	What is the name of a type of thin, crustless, stuffed flatbread that originates from and is especially made in the Konya region?		Meat bread		Gül Sena Altıntaş			Cuisine	Etliekmek
35	35	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	Adana mutfağıyla anılan ve gevişgetiren hayvanların midelerinin bir bölümünün pirinç, baharat ve kıymayla doldurulup dikilmesiyle yapılan meşhur sakatat yemeğinin adı nedir?	Şırdan	https://tr.wikipedia.org/wiki/%C5%9E%C4%B1rdan	What is the name of the famous offal dish associated with Adana cuisine, made by stuffing a section of the stomach of ruminant animals with rice, spices, and minced meat, and then sewing it shut?		Tripe		Gül Sena Altıntaş			Cuisine	Şırdan dolması
36	36	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	Her yıl düzenlenen mesir şenlikleriyle bilinen ve 41 çeşit bitki ve baharatla hazırlanan mesir macunu ile özdeşleşen şehrin adı nedir?	Manisa	https://www.kulturportali.gov.tr/portal/mesirmacunufestivali	What is the name of the city known for its annual Mesir Festivals and synonymous with Mesir paste, which is prepared with 41 different herbs and spices?		Manisa		Gül Sena Altıntaş			Cuisine	Manisa
37	37	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	Mantı yemeği Türkiye'de hangi ille özdeşleşmiştir?	Kayseri	https://tr.wikipedia.org/wiki/Mant%C4%B1	Which city in Türkiye is most associated with the dish mantı (Turkish dumplings)?		Kayseri		Gül Sena Altıntaş			Cuisine	Kayseri
38	38	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	Boyoz, Türkiye'de hangi ille özdeşleşmiştir?	İzmir	https://tr.wikipedia.org/wiki/Boyoz	In which city in Türkiye is boyoz most closely associated?		Izmir	İzmir	Gül Sena Altıntaş			Cuisine	İzmir
39	39	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	Bulgur, isot, kıyılmış et, salça, soğan, maydanoz ve çeşitli baharatların yoğurulup karıştırılması ile hazırlanan, pişirilmeden tüketilen, Şanlıurfa ve Adıyaman yöresine ait yiyeceğin adı nedir?	Çiğ köfte	https://en.wikipedia.org/wiki/%C3%87i%C4%9F_k%C3%B6fte	What is the name of the dish, native to the Şanlıurfa and Adıyaman regions, that is prepared by kneading and mixing bulgur, isot (a type of chili pepper), minced meat, tomato paste, onions, parsley, and various spices, and is consumed without cooking?		Raw meatballs	Chee kofta	Gül Sena Altıntaş			Cuisine	Çiğ köfte
40	40	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	Türkiye'de çay üretiminin en çok yapıldığı şehrin adı nedir?	Rize	https://tr.wikipedia.org/wiki/T%C3%BCrk_%C3%A7ay%C4%B1	What is the name of the city in Türkiye where the most tea is produced?		Rize					Cuisine	Rize
41	41	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	Türkiye'de genellikle kahvaltıda tüketilen susamla kaplı yuvarlık şekilli ekmeklere ne ad verilir?	Simit	https://tr.wikipedia.org/wiki/Simit	What is the name given to the round, sesame-covered bread rolls that are commonly consumed for breakfast in Türkiye?		Simit					Cuisine	Simit
42	42	Tarık Tuna Taşaltı	Gül Sena Altıntaş	tur_latn	Türkiye	İnce bulgur, salça, maydanoz ve taze soğanın yoğrularak harmanlanmasıyla yapılan geleneksel Türk salatasının adı nedir?	Kısır	https://tr.wikipedia.org/wiki/K%C4%B1s%C4%B1r_(yemek)	What is the name of the traditional Turkish salad made by kneading together fine bulgur, tomato paste, parsley, and fresh onions?		Barren	Kisir	Gül Sena Altıntaş			Cuisine	Kısır
43	43	Melike Kızılay	Tarık Tuna Taşaltı	tur_latn	Türkiye	Osmanlı İmparatorluğu'nun ilk ve son anayasası olan Kânûn-ı Esâsî hangi yılda ilan edilmiştir?	1876	https://tr.wikipedia.org/wiki/K%C3%A2n%C3%BBn-%C4%B1_Es%C3%A2s%C3%AE	In what year was the Kanun-ı Esasi, the first and last constitution of the Ottoman Empire, proclaimed?		1876		Tarık Tuna Taşaltı			History	1876
44	44	Melike Kızılay	Tarık Tuna Taşaltı	tur_latn	Türkiye	1921 Ankara Antlaşması, TBMM ile hangi ülke arasında imzalanmıştır?	Fransa	https://tr.wikipedia.org/wiki/Ankara_Antla%C5%9Fmas%C4%B1_(1921)	The 1921 Ankara Agreement was signed between the Turkish Grand National Assembly and which country?		France		Tarık Tuna Taşaltı			History	Fransa
45	45	Melike Kızılay	Tarık Tuna Taşaltı	tur_latn	Türkiye	"Mimar Sinan'ın ""ustalık eserim"" diye takdim ettiği en büyük eseri nedir? "	Selimiye Camii	https://tr.wikipedia.org/wiki/Mimar_Sinan	"What is the greatest work that Mimar Sinan presented as his ""masterpiece""?"		Selimiye Mosque		Tarık Tuna Taşaltı			History	Selimiye Camii
46	46	Melike Kızılay	Tarık Tuna Taşaltı	tur_latn	Türkiye	Konstantinopolis hangi yılda Osmanlı İmparatorluğu'nun egemenliğine geçmiştir?	1453	https://tr.wikipedia.org/wiki/%C4%B0stanbul%27un_Fethi	In what year did Constantinople come under the rule of the Ottoman Empire?		1453		Tarık Tuna Taşaltı			History	1453
47	47	Melike Kızılay	Tarık Tuna Taşaltı	tur_latn	Türkiye	Rumeli Hisarı kim tarafından inşa ettirilmiştir? 	Fatih Sultan Mehmet	https://tr.wikipedia.org/wiki/Rumeli_Hisar%C4%B1	Who commissioned the construction of Rumeli Hisarı?		Sultan Mehmed the Conqueror		Tarık Tuna Taşaltı			History	Fatih Sultan Mehmet
48	48	Melike Kızılay	Tarık Tuna Taşaltı	tur_latn	Türkiye	Kanuni Sultan Süleyman'ın Divan edebiyatındaki takma adı nedir?	Muhibbi	https://tr.wikipedia.org/wiki/I._S%C3%BCleyman	What is the pen name of Sultan Suleiman the Magnificent in Ottoman classical literature?		Muhibbi		Tarık Tuna Taşaltı			History	Muhibbî
49	49	Melike Kızılay	Tarık Tuna Taşaltı	tur_latn	Türkiye	 Osmanlı İmparatorluğu sınırları içinde 1 Kasım 1831'de yayımlanmaya başlanan ilk Osmanlı Türk resmî gazetesinin adı nedir?	Takvîm-i Vekâyi	https://tr.wikipedia.org/wiki/Takv%C3%AEm-i_Vek%C3%A2yi	What was the name of the first official Ottoman Turkish newspaper, which began publication within the borders of the Ottoman Empire on November 1, 1831?		Calendar of Events		Tarık Tuna Taşaltı			History	Takvim-i Vekayi
50	50	Melike Kızılay	Tarık Tuna Taşaltı	tur_latn	Türkiye	"Eski Türkçede ""Tanrı"" sözcüğünün söylenişi nedir?"	Tengri	https://tr.wikipedia.org/wiki/Tengricilik	"What was the pronunciation of the word ""Tanrı"" in Old Turkish?"	"How was the word ""God"" pronounced in Old Turkish?"	Tengri		Melike Kızılay			History	Tengri
51	51	Melike Kızılay	Tarık Tuna Taşaltı	tur_latn	Türkiye	552-744 yılları arasında Orta ve İç Asya'da hüküm sürdürmüş Türk imparatorluğunun adı nedir? 	Göktürk 	https://tr.wikipedia.org/wiki/T%C3%BCrk_Ka%C4%9Fanl%C4%B1%C4%9F%C4%B1	What was the name of the Turkic empire that ruled Central and Inner Asia between 552 and 744?		Gokturk	Göktürk	Tarık Tuna Taşaltı			History	Göktürk Kağanlığı
52	52	Melike Kızılay	Tarık Tuna Taşaltı	tur_latn	Türkiye	Göktürkler tarafından yazılan Orhun Yazıtları hangi ülkede bulunmuştur? 	Moğolistan	https://tr.wikipedia.org/wiki/Orhun_Yaz%C4%B1tlar%C4%B1	In which country were the Orkhon Inscriptions, written by the Göktürks, found?		Mongolia		Tarık Tuna Taşaltı			History	Moğolistan
53	53	Melike Kızılay	Tarık Tuna Taşaltı	tur_latn	Türkiye	Türkiye'de cumhuriyet hukuki olarak hangi yılda ilan edilmiştir?	1923	https://tr.wikipedia.org/wiki/T%C3%BCrkiye'de_cumhuriyetin_ilan%C4%B1	In which year was the Republic legally declared in Türkiye?		1923		Tarık Tuna Taşaltı			History	1923
54	54	Melike Kızılay	Tarık Tuna Taşaltı	tur_latn	Türkiye	İstiklal Marşı'nın sözleri hangi Türk şair tarafından yazılmıştır? 	Mehmet Âkif Ersoy	https://tr.wikipedia.org/wiki/%C4%B0stikl%C3%A2l_Mar%C5%9F%C4%B1	Which Turkish poet wrote the lyrics of the Turkish National Anthem?		Mehmet Akif Ersoy		Tarık Tuna Taşaltı			History	Mehmet Akif Ersoy
55	55	Melike Kızılay	Tarık Tuna Taşaltı	tur_latn	Türkiye	Dede Korkut Kitabı'nda geçeni tek gözü olan efsanevi yaratığın adı nedir? 	Tepegöz	https://en.wikipedia.org/wiki/Tepeg%C3%B6z	What is the name of the legendary one-eyed creature mentioned in the Book of Dede Korkut?		Cyclops	Tepegoz	Tarık Tuna Taşaltı			Traditions & Folk Culture	Tepegöz
56	56	Melike Kızılay	Gül Sena Altıntaş	tur_latn	Türkiye	Türkiye'de II. Meşrutiyet ve Cumhuriyet dönemlerinin önemli bir tanığı olan Halide Edib Adıvar'ın en bilinen eserinin adı nedir?	Sinekli Bakkal	https://tr.wikipedia.org/wiki/Halide_Edib_Ad%C4%B1var	What is the name of the most well-known work by Halide Edib Adıvar, an important witness to the Second Constitutional Era and the Republic period in Türkiye?		Fly-Infested Grocery Store	The Clown and His Daughter	Melike Kızılay			Literature	Sinekli Bakkal
57	57	Melike Kızılay	Gül Sena Altıntaş	tur_latn	Türkiye	Yaşar Kemal'in dört ciltten oluşan, konusu Cumhuriyet döneminin ilk yıllarında Çukurova'da geçen roman serisinin adı nedir? 	İnce Memed	https://tr.wikipedia.org/wiki/%C4%B0nce_Memed	What is the name of Yaşar Kemal's four-volume novel series, set in Çukurova during the early years of the Republic?		Thin Memed	İnce Memed	Melike Kızılay			Literature	İnce Memed
58	58	Melike Kızılay	Gül Sena Altıntaş	tur_latn	Türkiye	Yaşamının büyük bölümünü hapiste ya da sürgünde geçirmiş, Türk edebiyatında Mavi Gözlü Dev takma adına sahip Türk şair kimdir? 	Nâzım Hikmet	https://tr.wikipedia.org/wiki/N%C3%A2z%C4%B1m_Hikmet	"Who is the Turkish poet known in Turkish literature as the ""Blue-Eyed Giant,"" who spent a large part of his life in prison or exile?"		Nazim Hikmet	Nâzım Hikmet	Gül Sena Altıntaş			Literature	Nazım Hikmet
59	59	Melike Kızılay	Gül Sena Altıntaş	tur_latn	Türkiye	Reşat Nuri Güntekin’in, sinema, televizyon dizisi, tiyatro ve bale uyarlamaları yapılan ve baş kahramanı Feride olan ünlü romanının adı nedir? 	Çalıkuşu	https://tr.wikipedia.org/wiki/%C3%87al%C4%B1ku%C5%9Fu_(roman)	What is the name of Reşat Nuri Güntekin's famous novel, whose main character is Feride, and which has been adapted into films, television series, plays, and ballets?		Wren	The Wren	Melike Kızılay			Literature	Çalıkuşu
60	60	Melike Kızılay	Gül Sena Altıntaş	tur_latn	Türkiye	Oğuz Atay'ın TRT Roman Ödülü kazandığı, kahramanlarından biri Selim Işık olan 671 sayfalık romanın adı nedir? 	Tutunamayanlar	https://tr.wikipedia.org/wiki/Tutunamayanlar	What is the name of the 671-page novel by Oğuz Atay, which won the TRT Novel Award and features Selim Işık as one of its protagonists?		The Unsuccessful Ones	The Disconnected	Melike Kızılay			Literature	Tutunamayanlar
61	61	Melike Kızılay	Gül Sena Altıntaş	tur_latn	Türkiye	Türk edebiyatında Bayrak şairi olarak da anılan Türk şair, öğretmen ve siyasetçi kimdir?	Arif Nihat Asya	https://tr.wikipedia.org/wiki/Arif_Nihat_Asya	"Who is the Turkish poet, teacher, and politician known in Turkish literature as the ""Poet of the Flag""?"		Arif Nihat Asya					Literature	Arif Nihat Asya
62	62	Melike Kızılay	Gül Sena Altıntaş	tur_latn	Türkiye	"Vatan şairi olarak anılan,  ""Vatan yahut Silistre"" eseriyle ünlü olan yazarın adı nedir?"	Nâmık Kemal	https://tr.wikipedia.org/wiki/N%C3%A2m%C4%B1k_Kemal	"What is the name of the author known as the national poet, famous for his work ""Homeland or Silistra""?"		Namık Kemal	Nâmık Kemal	Gül Sena Altıntaş			Literature	Namık Kemal
63	63	Melike Kızılay	Gül Sena Altıntaş	tur_latn	Türkiye	Rıfat Ilgaz'ın Türkiye'deki eğitim sistemini mizahi dilde eleştirdiği, filmleri televizyonda sık sık yayınlanan gençlik romanının adı nedir?	Hababam Sınıfı 	https://tr.wikipedia.org/wiki/Hababam_S%C4%B1n%C4%B1f%C4%B1_(roman)	What is the name of Rıfat Ilgaz's young adult novel, which satirically criticizes the education system in Türkiye and has been frequently adapted into films for television?		Hababam Class	The Chaos Class	Gül Sena Altıntaş			Literature	Hababam Sınıfı
